match_id,odds_home,odds_draw,odds_away,odds_over25,odds_under25,source,bookmakers_h2h,bookmakers_totals,avg_overround_h2h,avg_overround_totals,p_home_consensus,p_draw_consensus,p_away_consensus,p_over25_consensus,p_under25_consensus
WC2026-002,2.808904817352853,3.2450805433708965,2.977691733644991,2.296806387720649,1.7711251343831398,the_odds_api_no_vig_consensus,43.0,14.0,0.0535123066149908,0.0613298529760803,0.356010639385927,0.3081587611262273,0.3358305994878457,0.4353871555505381,0.5646128444494619
WC2026-001,1.4813986341528476,4.717679049229942,8.850057736542128,2.296586013549947,1.7712561986243254,the_odds_api_no_vig_consensus,48.0,20.0,0.0465245453998882,0.0536667180952437,0.6750377494251302,0.2119686374517631,0.1129936131231068,0.4354289341221974,0.5645710658778025
WC2026-003,1.9055506318343816,3.643298929415717,4.981548690732295,2.3750480451431493,1.7272473158535306,the_odds_api_no_vig_consensus,48.0,17.0,0.0491004391486179,0.0578990245245133,0.5247826970818131,0.2744765168529204,0.2007407860652665,0.4210441140527445,0.5789558859472556
WC2026-004,2.17242653933589,3.351798890327938,4.143566542702775,2.5577449587156003,1.6419536101882333,the_odds_api_no_vig_consensus,48.0,14.0,0.0503072857767202,0.0620905730517798,0.4603147595065284,0.2983472555246775,0.241337984968794,0.3909693953622964,0.6090306046377036
WC2026-005,14.76336875457307,6.502006021006896,1.284577463975624,1.680456384260321,2.469601907089216,the_odds_api_no_vig_consensus,49.0,16.0,0.0502283280164659,0.0567873427693325,0.0677352179318993,0.1537986887076337,0.778466093360467,0.5950764383808542,0.4049235616191457
WC2026-006,1.7864964256084668,3.729491334410167,5.810167041766929,2.2485896354606454,1.8009036528891795,the_odds_api_no_vig_consensus,49.0,20.0,0.0509861180334028,0.0545689442977437,0.5597548283139765,0.2681330804481286,0.1721120912378949,0.4447232097088006,0.5552767902911995
WC2026-007,6.254594749573682,4.68222209889922,1.596057783394457,1.7334747621694522,2.3633734268405187,the_odds_api_no_vig_consensus,47.0,18.0,0.0513819397091911,0.0524124090709798,0.1598824608210085,0.2135738072388957,0.6265437319400957,0.576876007556346,0.4231239924436539
WC2026-008,5.438612655320999,3.935435193029136,1.7792705458866025,2.0967923513650515,1.9117496112690928,the_odds_api_no_vig_consensus,47.0,20.0,0.0499150041991442,0.0534915951516681,0.183870421259294,0.2541015036332721,0.5620280751074338,0.4769189468613719,0.5230810531386282
WC2026-009,1.0773840016024545,20.681065669464463,42.60318468918864,1.26865311106392,4.722272174849566,the_odds_api_no_vig_consensus,48.0,3.0,0.0397653823297847,0.0573557869397622,0.9281741686461312,0.0483534077006726,0.0234724236531962,0.7882375341840909,0.2117624658159091
WC2026-010,2.162425663041984,3.591175221883704,3.859573548768487,2.113390299130399,1.8981576368871167,the_odds_api_no_vig_consensus,46.0,19.0,0.0496134232142607,0.0519623877160441,0.462443642383181,0.2784603752850197,0.2590959823317993,0.4731733652849036,0.5268266347150965
WC2026-011,3.798378560933149,2.357098501408403,3.200211350193488,,,the_odds_api_no_vig_consensus,36.0,0.0,0.0773548758135997,,0.2632702306939963,0.4242504076102397,0.3124793616957639,,
WC2026-013,1.188132860266989,8.973130877129257,21.32220568496553,1.622162458320731,2.6072972366399028,the_odds_api_no_vig_consensus,43.0,5.0,0.0654077483523344,0.0651213969015484,0.8416567148688127,0.1114438219717493,0.0468994631594379,0.61646106705934,0.38353893294066
WC2026-014,1.6606008757368116,4.256230717713548,6.140293322082145,1.9961161111871104,2.003899032220512,the_odds_api_no_vig_consensus,48.0,22.0,0.048945086177893,0.0536409959318541,0.6021916612300341,0.234949669396024,0.162858669373942,0.5009728614460659,0.4990271385539342
WC2026-015,8.779882328590771,4.603587311232621,1.4950334539931485,2.1702161415118586,1.8545429895609304,the_odds_api_no_vig_consensus,48.0,19.0,0.0489595205388275,0.0549583230147083,0.1138967428690478,0.21722190378795,0.6688813533430021,0.4607835970215208,0.5392164029784792
WC2026-017,1.5320311607494617,4.70601584216077,7.41962011431583,1.8413137482722768,2.188617209755102,the_odds_api_no_vig_consensus,48.0,20.0,0.0496043953038146,0.0519579823350253,0.6527282379235715,0.2124939722984122,0.1347777897780162,0.5430904977157262,0.4569095022842739
WC2026-018,14.509171820604712,7.124193382627596,1.2646840720000467,1.688799530694943,2.4518012214542027,the_odds_api_no_vig_consensus,48.0,14.0,0.0481339577774821,0.0643661564348914,0.0689219214138662,0.1403667680384011,0.7907113105477327,0.5921365927834542,0.4078634072165458
WC2026-019,1.6444343913777222,4.04949139759988,6.899236120106238,2.295425388131324,1.7719471990915037,the_odds_api_no_vig_consensus,40.0,16.0,0.0763239788501946,0.0624571745251751,0.6081118257093802,0.2469445917560651,0.1449435825345547,0.4356490980585027,0.5643509019414973
WC2026-020,1.4506869841446053,5.079805920630953,8.786303554545952,1.8969463098163328,2.114893934069219,the_odds_api_no_vig_consensus,48.0,19.0,0.0495793055559968,0.0554791769197662,0.6893285808238281,0.1968579145787113,0.1138135045974605,0.5271630487511386,0.4728369512488614
WC2026-021,1.3283652254674805,5.927884301152,12.738733906251651,1.8551100194782404,2.169440162343281,the_odds_api_no_vig_consensus,46.0,19.0,0.0486326458516517,0.051436193502538,0.7528050123775849,0.1686942506292952,0.0785007369931199,0.5390515869680093,0.4609484130319908
WC2026-022,1.7834444587768632,3.8979972408241546,5.472097603009063,2.163207459851962,1.8596918731309264,the_odds_api_no_vig_consensus,47.0,18.0,0.0487778055464996,0.0537316912990888,0.560712723672835,0.2565419979077691,0.1827452784193959,0.4622765123361929,0.5377234876638071
WC2026-023,2.4538443723872283,3.343254177706054,3.408706426850992,2.464173560704677,1.6829791404775265,the_odds_api_no_vig_consensus,48.0,15.0,0.0500452753087206,0.0580112279056119,0.4075238068285266,0.2991097735458874,0.293366419625586,0.4058155707644356,0.5941844292355645
WC2026-025,1.9110915223299287,3.712111664323871,4.8227547291475785,2.263576619383187,1.7914043237743258,the_odds_api_no_vig_consensus,48.0,19.0,0.0505721543700727,0.0544117231341856,0.5232611773510663,0.2693884479852093,0.2073503746637245,0.4417787281583138,0.5582212718416862
WC2026-026,1.6331774675584254,4.291616840240377,6.464781992739358,2.031373983824983,1.969580400206888,the_odds_api_no_vig_consensus,48.0,22.0,0.0492746458034061,0.0531062649830706,0.6123033288568352,0.2330124140215623,0.1546842571216024,0.4922776445709156,0.5077223554290844
WC2026-027,1.3520422253303583,5.806495474489839,11.34337194554529,1.797232315091747,2.2543395207015884,the_odds_api_no_vig_consensus,48.0,18.0,0.0482728220047367,0.0540949946412119,0.7396218707264559,0.1722209212757305,0.0881572079978136,0.5564110947721029,0.4435889052278971
WC2026-029,1.684158719964047,4.570988271324324,5.334452441764299,1.979556307732196,2.0208703594744177,the_odds_api_no_vig_consensus,48.0,22.0,0.0485618600743538,0.0533446004258668,0.5937682643244858,0.2187710710774316,0.1874606645980826,0.505163705671809,0.4948362943281909
WC2026-030,5.972520532094205,3.79848588336608,1.7565316746434216,2.279035949581036,1.7818388531827916,the_odds_api_no_vig_consensus,48.0,14.0,0.0490296510046195,0.0626296333382793,0.1674334972356068,0.2632627922560124,0.5693037105083809,0.4387820210487833,0.5612179789512167
WC2026-033,1.7968125321476742,4.183563007739576,4.891692749619722,1.7226645011332211,2.383767984219351,the_odds_api_no_vig_consensus,46.0,16.0,0.0498603240582162,0.0511996278439629,0.5565410871242817,0.239030701378228,0.2044282114974902,0.5804960857683952,0.4195039142316047
WC2026-034,1.5729861248979513,4.835141671608253,6.35133107076122,1.6574473458065728,2.521034355645888,the_odds_api_no_vig_consensus,47.0,14.0,0.0507268479635235,0.0596386570303183,0.6357335161267718,0.206819172615346,0.1574473112578822,0.6033374167390907,0.3966625832609093
WC2026-036,8.237141191346991,4.626906544012997,1.5094988209900326,2.109157274995119,1.9015853950959305,the_odds_api_no_vig_consensus,48.0,19.0,0.0499266114049333,0.0554928233630125,0.1214013426224242,0.2161271230545932,0.6624715343229824,0.474123011998863,0.525876988001137
WC2026-037,1.157970157916944,10.37512373861112,24.97783578056331,1.414241055922195,3.414053328861311,the_odds_api_no_vig_consensus,49.0,3.0,0.0454862226003532,0.0582827993144829,0.8635801131515218,0.096384392629313,0.0400354942191652,0.7070930346792417,0.2929069653207584
