canonical,alias
United States,USA
United States,United States of America
South Korea,Korea Republic
South Korea,Republic of Korea
Czechia,Czech Republic
Iran,IR Iran
Saudi Arabia,Saudi Arabia
Mexico,Mexico
South Africa,South Africa
Bolivia,Bolivia
Iraq,Iraq
Argentina,Argentina
Brazil,Brazil
France,France
Spain,Spain
Germany,Germany
England,England
Portugal,Portugal
Netherlands,Netherlands
Uruguay,Uruguay
Colombia,Colombia
Japan,Japan
Morocco,Morocco
Czechia,Czech Republic
Czechia,Czechia
Bosnia and Herzegovina,Bosnia & Herzegovina
Bosnia and Herzegovina,Bosnia and Herzegovina
United States,USA
United States,United States
Curacao,Curacao
Curacao,Curaçao
Turkey,Turkey
Turkey,Türkiye
Germany,Germany
Sweden,Sweden
DR Congo,DR Congo
DR Congo,Congo DR
DR Congo,Congo Democratic Republic
DR Congo,Democratic Republic of the Congo
Cape Verde,Cape Verde
Cape Verde,Cabo Verde
Ivory Coast,Ivory Coast
Ivory Coast,Cote d'Ivoire
Ivory Coast,Côte d'Ivoire
Bosnia and Herzegovina,Bosnia and Herzegovina
Bosnia and Herzegovina,Bosnia & Herzegovina
